Input,Mapped_To,Comment
Paul Taylor,Paul Taylor,
Penn. Ballet,Pennsylvania Ballet,
Petronio,Petronio,
Philadanco,PHILADANCO,
Phoenix,Phoenix Ballet,
Pilobollus,Pilobolus,
Pilobolos,Pilobolus,
pilobolus,Pilobolus,
Pilobolus,Pilobolus,
Pilobuols,Pilobolus,
Pilolobus,Pilobolus,
pina bausch,Pina Bausch,
Pina Bausch,Pina Bausch,
polobolus,Pilobolus,
Portland Ballet`Hubbard St,Portland Ballet,or Hubbard Street?
Prejlocaj,Preljocaj,
Prelocaj,Preljocaj,
Rambert,Rambert,
richmond,Richmond,?
river north chicago,River North Dance Chicago,
river north dance chicago,River North Dance Chicago,
Rockettes,Rockettes,
ron b.,Evidence,?
Royal Ballet,Royal Ballet,
Royal Danish Ballet,Royal Danish Ballet,
Royal Flux,Royal Flux,
SAB,School of American Dance,?
SADC,Second Avenue Dance Co.,?
San Fransico Ballet,San Fransico Ballet,
Santa Fe,Aspen Santa Fe,?
Sao Paulo,Sao Paulo,
Sao Paulo Dance Company ,Sao Paulo,
shaping sound,Shaping Sound,
Shaping sounds,Shaping Sound,
Sheuwei,Shen Wei Dance,?
Sidra Bell,Sidra Bell,
Siko Komo,Eiko and Koma,?
simon brook,NA,?
Sol Baril,NA,?
Stephen Petronio,Stephen Petronio,
Streb,Streb,
Swan Lake,NA,?
Ted Shawn,Ted Shawn,
The Trocs,Trockadero,?
Thierre,NA,?
time lapse,Time Lapse,
Trey Macintyre,Trey Macintyre,
Trocaderos,Trockadero,
Trockadero,Trockadero,
truckadero,Trockadero,
Twyla tharp,Twyla Tharp,
Twyla Tharp,Twyla Tharp,
UBW,UBW,
Urban Bush Women Ron k. Brown,UBW,
Vim Vigor,Vim Vigor,
XIV,Company XIV,
